title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
Pregnancy-Associated Cardiomyopathy Clinical Characteristics and a Comparison Between Early and Late Presentation|http://circ.ahajournals.org/content/111/16/2050.short|2005|378|9|2939115656623588135|None|http://scholar.google.com/scholar?cites=2939115656623588135&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=2939115656623588135&hl=en&as_sdt=0,5|None|Background—Cardiomyopathy associated with pregnancy was first described more than half a century ago. However, because of its rare occurrence and geographical differences, the clinical profile of this condition has remained incompletely defined.
Prevalence of type III secretion genes in clinical and environmental isolates of Pseudomonas aeruginosa|http://mic.microbiologyresearch.org/content/journal/micro/10.1099/00221287-147-10-2659|2001|302|6|2964673551203843912|None|http://scholar.google.com/scholar?cites=2964673551203843912&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=2964673551203843912&hl=en&as_sdt=0,5|None|The type III secretion system of Pseudomonas aeruginosa transports four known effector proteins: ExoS, ExoT, ExoU and ExoY. However, the prevalence of the type III secretion system genes or the effector-encoding genes in clinical and environmental isolates of P.  ...
Effect of elevated admission serum creatinine and its worsening on outcome in hospitalized patients with decompensated heart failure|http://www.sciencedirect.com/science/article/pii/S0002914904009695|2004|131|9|14521633652912924716|None|http://scholar.google.com/scholar?cites=14521633652912924716&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=14521633652912924716&hl=en&as_sdt=0,5|None|Renal insufficiency (RI), as represented by elevated serum creatinine (> 1.5 mg/dl) on admission, is common and found in almost half of patients hospitalized with decompensated heart failure. This finding is associated with prolongation of length of stay and rate of  ...
The one world schoolhouse: Education reimagined|http://books.google.com/books?hl=en&lr=&id=xz-gkDYm4UUC&oi=fnd&pg=PT151&dq=Salman+Khan&ots=Q74AIKkffZ&sig=aCv1y91kHL6Za10XA7lUEWvtPi0|2012|137|4|10778388588675295193|None|http://scholar.google.com/scholar?cites=10778388588675295193&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=10778388588675295193&hl=en&as_sdt=0,5|None|A free, world-class education for anyone, anywhere: this is the goal of the Khan Academy, a passion project that grew from an ex-engineer and hedge funder's online tutoring sessions with his niece, who was struggling with algebra, into a worldwide phenomenon. Today  ...
Comparison of effects on left ventricular filling pressure of intravenous nesiritide and high-dose nitroglycerin in patients with decompensated heart failure|http://www.sciencedirect.com/science/article/pii/S0002914903014164|2004|106|6|14391759453551062215|None|http://scholar.google.com/scholar?cites=14391759453551062215&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=14391759453551062215&hl=en&as_sdt=0,5|None|The results of this study showed an advantage of nesiritide compared with high-dose nitroglycerin in the treatment of patients with decompensated heart failure. Nesiritide resulted in an early decrease in pulmonary capillary wedge pressure (≤ 15 minutes),  ...
Circular fractal monopole antenna for low VSWR UWB applications|http://jpier.org/PIERL/pier.php?paper=07110903|2008|94|5|10277357129874889297|None|http://scholar.google.com/scholar?cites=10277357129874889297&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=10277357129874889297&hl=en&as_sdt=0,5|None|Abstract: A new circular ultra-wideband fractal monopole antenna based on descartes circle theorem (DCT) with elliptical iterations is presented. The proposed fractal design is optimized for return loss below-15 dB. The basic structure is slightly modified to ensure an  ...
Intravenous nitroglycerin in the treatment of decompensated heart failure: potential benefits and limitations|http://cpt.sagepub.com/content/9/4/227.short|2004|71|5|6221290996666540989|None|http://scholar.google.com/scholar?cites=6221290996666540989&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=6221290996666540989&hl=en&as_sdt=0,5|None|Abstract Acute decompensated heart failure (ADHF) is a common cause of hospitalizations. Intravenous nitroglycerin is widely used in the treatment of this condition. The use of this drug is based on its nitric oxide-mediated vasodilatory effect, which can lead to beneficial  ...
Medical education reimagined: a call to action|http://journals.lww.com/academicmedicine/Abstract/2013/10000/Medical_Education_Reimagined___A_Call_to_Action.9.aspx|2013|73|4|16321850809457355258|None|http://scholar.google.com/scholar?cites=16321850809457355258&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=16321850809457355258&hl=en&as_sdt=0,5|None|Abstract The authors propose a new model for medical education based on the “flipped classroom” design. In this model, students would access brief (~ 10 minute) online videos to learn new concepts on their own time. The content could be viewed by the students as  ...
Synthesis and biological evaluation of some thiazolidinone derivatives of steroid as antibacterial agents|http://www.sciencedirect.com/science/article/pii/S0223523408004054|2009|68|7|3619116715876712704|None|http://scholar.google.com/scholar?cites=3619116715876712704&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=3619116715876712704&hl=en&as_sdt=0,5|None|Steroidal thiazolidinone derivatives were prepared by the multi-step reactions of steroid. It is prepared from steroidal thiosemicarbazones with ethyl bromoacetate in dioxane. Steroidal thiosemicarbazones were prepared by the reaction of thiosemicarbazide with steroidal  ...
Synthesis, characterization and in vitro antibacterial activity of new steroidal thiazolo quinoxalines|http://www.sciencedirect.com/science/article/pii/S0223523406002650|2007|65|7|3300294068776379387|None|http://scholar.google.com/scholar?cites=3300294068776379387&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=3300294068776379387&hl=en&as_sdt=0,5|None|Herein, we report the synthesis of different steroidal thiazolo quinoxaline derivatives as antibacterial agents against Escherichia coli. Steroidal ketone thiosemicarbazones (4–6) were obtained from corresponding ketones (1–3) by refluxing with thiosemicarbazide. The  ...
Let's use video to reinvent education|None|2011|64|0|17004387568530975560|None|http://scholar.google.com/scholar?cites=17004387568530975560&as_sdt=2005&sciodt=0,5&hl=en|None|None|None
A link adaptation scheme for efficient transmission of H. 264 scalable video over multirate WLANs|http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4472174|2008|59|5|16668356857685820982|None|http://scholar.google.com/scholar?cites=16668356857685820982&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=16668356857685820982&hl=en&as_sdt=0,5|None|Abstract—In this paper, we propose a cross-layer optimization scheme for delivery of scalable video over multirate wireless networks, in particular the popular 802.11 based wireless local area network (WLAN). The 802.11 based networks use a link adaptation  ...
